Processor,Camera,phoneName,price,ram_memory,rom_memory,Display Size,battery
Qualcomm Snapdragon 665 Processor,48MP + 8MP + 2MP + 2MP | 32MP Front Camera,Vivo S1 Pro ,"18,990",8 GB RAM , 128 GB ROM ,Super AMOLED ,4500 
Qualcomm Snapdragon 720G Processor,48MP + 8MP + 5MP + 2MP | 16MP Front Camera,POCO M2 Pro ,"15,999",6 GB RAM , 128 GB ROM ,16.51 cm  Full HD+ ,5000 
Qualcomm Snapdragon 732G Processor,64MP + 13MP + 2MP + 2MP | 20MP Front Camera,POCO X3 ,"16,999",6 GB RAM , 64 GB ROM ,16.54 cm  HD+ ,6000 
MediaTek Helio G25 Processor,13MP Rear Camera | 5MP Front Camera,Redmi 9i ,"9,299",4 GB RAM , 128 GB ROM ,16.51 cm  ,5000 
Helio G70 Processor,12MP + 2MP | 5MP Front Camera,Realme C3 ,"8,999",3 GB RAM , 32 GB ROM ,16.26 cm  Full HD+ ,5000 
Qualcomm Snapdragon 730G Processor,64MP + 8MP + 2MP + 2MP | 20MP + 2MP Dual Front Camera,POCO X2 ,"14,999",6 GB RAM , 64 GB ROM ,Super AMOLED ,4500 
A12 Bionic Chip Processor,12MP Rear Camera | 7MP Front Camera,Apple iPhone XR ,"43,999",4 GB RAM , 64 GB ROM,16.56 cm  HD+ ,6000 
Qualcomm Snapdragon 662 Processor,48MP Rear Camera | 8MP Front Camera,Redmi 9 Power ,"11,599",4 GB RAM , 64 GB ROM ,17.22 cm  HD+ ,5000 
MediaTek Helio P22 (64 bit) Processor,13 MP + 2 MP + 2 MP + Low Light Sensor | 8MP Front Camera,Infinix Hot 9 ,"9,499",6 GB RAM , 64 GB ROM ,16.51 cm  Full HD+ ,4300 
Snapdragon 720G Processor,64MP + 12MP + 8MP + 2MP | 16MP + 8MP Dual Front Camera,Realme 6 Pro ,"17,999",3 GB RAM , 32 GB ROM ,16.21 cm  Full HD+ ,5000 
