,Phone_Name,Processor,RAM,Display,Camera,Price,Battery
383,"Samsung Galaxy A21s (Blue, 128 GB)",Qualcomm Snapdragon 439 Processor,6 GB RAM | 128 GB ROM | Expandable Upto 256 GB,11.94 cm (4.7 inch) Retina HD Display,48MP + 8MP + 2MP + 2MP | 16MP Front Camera,"₹17,499",4300 mAh Battery
384,"Redmi 8A Dual (Midnight Grey, 32 GB)",Qualcomm Snapdragon 855+ Processor,3 GB RAM | 32 GB ROM | Expandable Upto 512 GB,14.48 cm (5.7 inch) HD+ Display,48MP + 8MP + 2MP + 2MP | 13MP Front Camera,"₹8,440",5000 mAh Lithium-ion Battery
385,"Samsung Galaxy A21s (Black, 128 GB)",Qualcomm Snapdragon 855+ Processor,6 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.0 cm (6.3 inch) Full HD+ Display,13MP + 2MP | 8MP Front Camera,"₹17,499",4035 mAh Battery
386,"Redmi Note 9 (Shadow Black, 128 GB)",MediaTek | MT6762 octa core Processor,6 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.0 cm (6.3 inch) Full HD+ Display,48MP + 8MP + 2MP + 2MP | 13MP Front Camera,"₹14,788",4035 mAh Battery
387,"Redmi Note 9 (Aqua Green, 128 GB)",MediaTek Helio G70 (12 nm) Processor,4 GB RAM | 128 GB ROM | Expandable Upto 256 GB,16.51 cm (6.5 inch) HD+ Display,48MP Rear Camera,"₹13,990",4500 mAh Lithium Polymer Battery
388,"Samsung Galaxy A51 (Haze Crush Silver, 128 GB)",MediaTek Helio G70 (12 nm) Processor,6 GB RAM | 128 GB ROM | Expandable Upto 256 GB,16.36 cm (6.44 inch) Full HD+ Display,48MP Rear Camera,"₹24,499",4500 mAh Lithium Polymer Battery
389,"Samsung Galaxy M40 (Midnight Blue, 128 GB)",MediaTek Helio G70 (12 nm) Processor,4 GB RAM | 128 GB ROM | Expandable Upto 256 GB,16.51 cm (6.5 inch) HD+ Display,48MP + 12MP + 5MP + 5MP | 32MP Front Camera,"₹16,999",4500 mAh Lithium Polymer Battery
390,"Samsung Galaxy Note 10 Plus (Aura Black, 256 GB)",Qualcomm Snapdragon 675 AIE Processor,2 GB RAM | 32 GB ROM,Super AMOLED Display,32MP Rear Camera,"₹59,999",4230 mAh Battery
391,"Realme 5s (Crystal Blue, 128 GB)",Helio P65 Processor,8 GB RAM | 128 GB ROM,15.49 cm (6.1 inch) Display,12MP (Dual Aperture) + 12MP + 16MP + TOF | 10MP Front Camera,"₹11,999",3765 mAh Battery
392,"OPPO A15 (Dynamic Black, 32 GB)",SC9863A Octa Core Processor,4 GB RAM | 128 GB ROM,16.0 cm (6.3 inch) Full HD+ Display,48MP + 8MP + 2MP + 2MP | 13MP Front Camera,"₹10,049",3765 mAh Battery
